"State","County","Hospital Type","Hospital","Licensed Beds","Staffed Beds","ICU Beds","Bed Utilization"
"New Jersey","Somerset","Long Term Acute Care Hospital","Matheny Medical and Educational Center (FKA Matheny School & Hospital)",101,101,16,0.9728
"New York","Monroe","Short Term Acute Care Hospital","Unity Hospital",311,283,14,0.9717
"California","Santa Barbara","Psychiatric Hospital","Santa Barbara County Psychiatric Health Facility",16,16,0,0.9711
"California","Los Angeles","Short Term Acute Care Hospital","Ronald Reagan UCLA Medical Center",445,445,120,0.971
"New York","Saratoga","Psychiatric Hospital","Four Winds Saratoga",88,88,0,0.9708
"Florida","Baker","Psychiatric Hospital","Northeast Florida State Hospital",1138,60,0,0.9698
"Connecticut","Tolland","Psychiatric Hospital","Natchaug Hospital",57,57,0,0.9685
"Louisiana","East Baton Rouge","Psychiatric Hospital","Oceans Behavioral Hospital Baton Rouge",20,20,0,0.9675
"California","Santa Cruz","Psychiatric Hospital","Santa Cruz County Psychiatric Health Facility",16,16,0,0.9672
"Delaware","Kent","Psychiatric Hospital","Dover Behavioral Health System",104,99,0,0.9665
"Pennsylvania","Montour","Psychiatric Hospital","Danville State Hospital",161,161,0,0.9652
"Georgia","Muscogee","Psychiatric Hospital","West Central Georgia Regional Hospital",58,40,0,0.9648
"Maine","Penobscot","Psychiatric Hospital","Northern Light Acadia Hospital",100,68,1,0.9646
"Oklahoma","Cleveland","Psychiatric Hospital","Griffin Memorial Hospital",182,120,0,0.9634
"Tennessee","Sullivan","Long Term Acute Care Hospital","Select Specialty Hospital - Tri Cities",33,33,9,0.9629
"Delaware","New Castle","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Middletown (FKA HealthSouth Rehabilitation Hospital of Middletown)",40,37,1,0.9628
"Arizona","Maricopa","Psychiatric Hospital","Valley Hospital",122,122,1,0.962
"Connecticut","Hartford","Long Term Acute Care Hospital","Hospital for Special Care",228,228,35,0.9607
"Louisiana","Morehouse","Psychiatric Hospital","Cypress Grove Behavioral Health Hospital (FKA Liberty Healthcare - Bastrop)",60,60,0,0.9603
"Texas","Cherokee","Psychiatric Hospital","Rusk State Hospital",288,288,0,0.9599
"Ohio","Athens","Psychiatric Hospital","Appalachian Behavioral Healthcare Hospital",92,92,0,0.9593
"Alabama","Tuscaloosa","Psychiatric Hospital","Bryce Hospital",268,98,0,0.9591
"Mississippi","Hinds","Long Term Acute Care Hospital","Select Specialty Hospital - Belhaven",25,25,7,0.9589
"New Hampshire","Merrimack","Psychiatric Hospital","New Hampshire Hospital",168,168,0,0.9575
"Louisiana","Rapides","Psychiatric Hospital","Longleaf Hospital (FKA Crossroads Regional Hospital)",92,96,0,0.9574
"New York","Nassau","Short Term Acute Care Hospital","North Shore University Hospital",764,764,87,0.9573
"Delaware","Kent","Rehabilitation Hospital","PAM Rehabilitation Hospital of Dover",34,34,0,0.9559
"Oklahoma","Tulsa","Rehabilitation Hospital","St John Rehabilitation Hospital",40,40,4,0.9559
"Michigan","Wayne","Psychiatric Hospital","StoneCrest Center",162,162,0,0.9553
"New York","New York City","Short Term Acute Care Hospital","Memorial Sloan Kettering Cancer Center",514,498,25,0.9552
"New York","Kings","Psychiatric Hospital","Kingsboro Psychiatric Center",163,163,0,0.9541
"Texas","Brazoria","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Pearland (FKA HealthSouth Pearland Rehabilitation Hospital)",40,40,1,0.9537
"Texas","Victoria","Long Term Acute Care Hospital","PAM Specialty Hospital of Victoria South",23,23,4,0.9535
"Missouri","St. Francois","Psychiatric Hospital","Southeast Missouri Mental Health Center",338,338,0,0.9533
"Pennsylvania","Berks","Psychiatric Hospital","Wernersville State Hospital",266,266,0,0.9533
"Ohio","Van Wert","Psychiatric Hospital","Ridgeview Behavioral Hospital",86,84,0,0.9525
"California","Los Angeles","Psychiatric Hospital","Aurora Charter Oak Hospital",134,134,0,0.9519
"Washington","King","Short Term Acute Care Hospital","Harborview Medical Center",413,321,89,0.9514
"California","Alameda","Short Term Acute Care Hospital","Alameda Hospital",66,37,8,0.9512
"New York","Erie","Psychiatric Hospital","Buffalo Psychiatric Center",159,159,0,0.9504
"Massachusetts","Bristol","Psychiatric Hospital","Fuller Hospital (FKA Arbour - Fuller Memorial Hospital)",103,103,0,0.9492
"South Carolina","Florence","Long Term Acute Care Hospital","Regency Hospital of Florence",40,40,12,0.9482
"Minnesota","Crow Wing","Psychiatric Hospital","Community Behavioral Health Hospital - Baxter",16,16,0,0.9478
"Arizona","Maricopa","Psychiatric Hospital","Haven Behavioral Hospital of Phoenix",57,57,0,0.9476
"Texas","Brazos","Rehabilitation Hospital","CHI St Joseph Health Rehabilitation Hospital",49,49,2,0.9476
"Texas","Victoria","Rehabilitation Hospital","PAM Rehabilitation Hospital of Victoria",26,26,0,0.9462
"Illinois","Kane","Psychiatric Hospital","Elgin Mental Health Center",383,383,0,0.9461
"Louisiana","East Baton Rouge","Psychiatric Hospital","Apollo Behavioral Health Hospital",18,24,0,0.9461
"District of Columbia","District of Columbia","Short Term Acute Care Hospital","George Washington University Hospital",395,333,56,0.946
"Illinois","Sangamon","Psychiatric Hospital","McFarland Mental Health Center",142,142,0,0.946
"Massachusetts","Worcester","Psychiatric Hospital","TaraVista Behavioral Health Center",108,108,0,0.9456
"New York","Bronx","Long Term Acute Care Hospital","ArchCare at Calvary Hospital - Bronx Campus",200,225,31,0.9452
"Missouri","Callaway","Psychiatric Hospital","Fulton State Hospital",38,38,0,0.9449
"Colorado","Denver","Psychiatric Hospital","Colorado Mental Health Institute Fort Logan",94,94,0,0.9448
"Georgia","Clayton","Psychiatric Hospital","Riverwoods Behavioral Health System",85,75,0,0.944
"Massachusetts","Middlesex","Psychiatric Hospital","Walden Behavioral Care",45,24,0,0.9435
"Illinois","DuPage","Rehabilitation Hospital","Marianjoy Rehabilitation Hospital",127,100,0,0.943
"California","Orange","Short Term Acute Care Hospital","College Hospital Costa Mesa",122,122,21,0.9427
"Pennsylvania","Philadelphia","Psychiatric Hospital","Friends Hospital",192,192,1,0.9419
"Florida","Hardee","Critical Access Hospital","AdventHealth Wauchula (FKA Florida Hospital Wauchula)",25,25,4,0.9417
"Massachusetts","Suffolk","Psychiatric Hospital","Dr Solomon Carter Fuller Mental Health Center",60,60,0,0.9413
"Indiana","Vigo","Psychiatric Hospital","Hamilton Center",16,16,0,0.9411
"Massachusetts","Suffolk","Rehabilitation Hospital","Spaulding Rehabilitation Hospital Boston",264,132,5,0.941
"Alabama","Russell","Rehabilitation Hospital","Regional Rehabilitation Hospital",58,58,2,0.9406
"New Jersey","Camden","Psychiatric Hospital","Northbrook Behavioral Health Hospital",158,150,0,0.9402
"Georgia","Cherokee","Short Term Acute Care Hospital","Northside Hospital Cherokee",126,150,20,0.9399
"Alabama","Madison","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of North Alabama (FKA Healthsouth Rehab of North Alabama)",70,70,0,0.9392
"Hawaii","Honolulu","Critical Access Hospital","Kahuku Medical Center",15,15,3,0.9392
"West Virginia","Cabell","Long Term Acute Care Hospital","Cornerstone Specialty Hospitals Huntington",28,28,9,0.9378
"Michigan","Macomb","Psychiatric Hospital","Behavioral Center of Michigan",42,42,0,0.9375
"Pennsylvania","Lebanon","Psychiatric Hospital","WellSpan Philhaven (FKA Philhaven Behavioral Healthcare Services)",103,103,0,0.9375
"Washington","King","Psychiatric Hospital","Navos West Seattle Campus",40,70,0,0.9369
"Oklahoma","Tulsa","Rehabilitation Hospital","PAM Rehabilitation Hospital of Tulsa",42,41,0,0.9367
"Massachusetts","Suffolk","Short Term Acute Care Hospital","Dana Farber Cancer Institute",30,30,5,0.9365
"Massachusetts","Worcester","Psychiatric Hospital","Worcester Recovery Center and Hospital (FKA Worcester State Hospital)",166,290,0,0.9362
"Texas","Kaufman","Psychiatric Hospital","Terrell State Hospital",288,288,0,0.9361
"Florida","Seminole","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Altamonte Springs (FKA HealthSouth Rehabilitation Hospital of Altamonte Springs)",60,60,1,0.9354
"Mississippi","Lamar","Psychiatric Hospital","South Mississippi State Hospital",50,50,0,0.9348
"Michigan","Wayne","Short Term Acute Care Hospital","DMC Detroit Receiving Hospital",248,191,49,0.9346
"California","Los Angeles","Psychiatric Hospital","BHC Alhambra Hospital",97,97,0,0.9345
"Michigan","Washtenaw","Long Term Acute Care Hospital","Select Specialty Hospital - Ann Arbor",36,36,8,0.9344
"Massachusetts","Middlesex","Short Term Acute Care Hospital","Lahey Hospital & Medical Center - Burlington (FKA Lahey Clinic Hospital)",345,335,52,0.9333
"Pennsylvania","Montgomery","Psychiatric Hospital","Norristown State Hospital",309,374,0,0.9332
"Louisiana","Ascension","Psychiatric Hospital","St James Behavioral Health Hospital",28,32,0,0.9329
"North Carolina","Mecklenburg","Short Term Acute Care Hospital","Atrium Health Pineville (FKA Carolinas HealthCare System Pineville)",250,154,30,0.9328
"Massachusetts","Suffolk","Psychiatric Hospital","Arbour Hospital",136,136,0,0.9325
"Alabama","Montgomery","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Montgomery (FKA Healthsouth Rehab Hospital of Montgomery)",70,70,3,0.9323
"Rhode Island","Providence","Psychiatric Hospital","Butler Hospital",143,143,0,0.9316
"Pennsylvania","Berks","Psychiatric Hospital","Haven Behavioral Hospital of Eastern Pennsylvania",67,82,0,0.9315
"Maryland","Wicomico","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Salisbury (FKA HealthSouth Chesapeake Rehabilitation Hospital)",59,64,0,0.9314
"Kentucky","Kenton","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Northern Kentucky (FKA HealthSouth Northern Kentucky Rehabilitation Hospital)",51,51,0,0.9313
"Texas","Tarrant","Short Term Acute Care Hospital","John Peter Smith Hospital (AKA JPS Health Network)",542,422,71,0.9309
"California","Los Angeles","Psychiatric Hospital","College Hospital Cerritos",187,187,0,0.9307
"New Jersey","Hudson","Psychiatric Hospital","Hudson Meadowview Psychiatric Hospital",174,84,0,0.9307
"Massachusetts","Norfolk","Psychiatric Hospital","Bournewood Hospital",100,100,0,0.9303
"Colorado","Pueblo","Psychiatric Hospital","Colorado Mental Health Institute at Pueblo",494,478,0,0.93
"South Carolina","Anderson","Psychiatric Hospital","Patrick B Harris Psychiatric Hospital",200,130,0,0.9298
"Minnesota","Douglas","Psychiatric Hospital","Community Behavioral Health Hospital - Alexandria",16,16,0,0.9288
"California","Los Angeles","Short Term Acute Care Hospital","City of Hope Helford Clinical Research Hospital",217,217,18,0.9287
"Georgia","Fulton","Short Term Acute Care Hospital","Grady Hospital (AKA Grady Memorial Hospital Corporation)",953,674,193,0.9286
"Arizona","Maricopa","Psychiatric Hospital","St Lukes Behavioral Health Center",127,124,0,0.9283
"New Jersey","Essex","Psychiatric Hospital","Essex County Hospital Center",180,180,0,0.9282
"California","Los Angeles","Long Term Acute Care Hospital","Kindred Hospital - Los Angeles",81,81,5,0.9279
"Texas","Cameron","Psychiatric Hospital","Rio Grande State Center",55,55,0,0.9279
"Florida","Flagler","Short Term Acute Care Hospital","AdventHealth Palm Coast (FKA Florida Hospital Flagler)",99,99,18,0.9269
"Texas","Hidalgo","Long Term Acute Care Hospital","Solara Specialty Hospitals McAllen",53,52,8,0.9268
"Texas","Grayson","Rehabilitation Hospital","Carrus Rehabilitation Hospital",24,24,0,0.9265
"Texas","Collin","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Richardson (FKA HealthSouth Rehabilitation Hospital of Richardson)",50,50,0,0.9259
"Texas","Travis","Psychiatric Hospital","Austin State Hospital",263,263,0,0.9254
"Georgia","Coweta","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Newnan (FKA HealthSouth Rehabilitation Hospital of Newnan)",50,50,0,0.9249
"South Carolina","Richland","Psychiatric Hospital","G Werber Bryan Psychiatric Hospital",530,411,0,0.9249
"Arizona","Maricopa","Rehabilitation Hospital","Dignity Health East Valley Rehabilitation Hospital",50,50,0,0.9247
"Louisiana","Lincoln","Psychiatric Hospital","Allegiance Health Center of Ruston",28,28,0,0.9234
"California","Sacramento","Psychiatric Hospital","Sierra Vista Hospital",171,171,0,0.9227
"North Dakota","Grant","Critical Access Hospital","Jacobson Memorial Hospital & Care Center",25,25,5,0.922
"Oklahoma","Muskogee","Long Term Acute Care Hospital","Cornerstone Specialty Hospitals Muskogee",64,64,10,0.9216
"Oklahoma","Pontotoc","Psychiatric Hospital","Rolling Hills Hospital",60,60,0,0.9216
"California","Sacramento","Psychiatric Hospital","Heritage Oaks Hospital",125,125,0,0.9207
"Ohio","Summit","Psychiatric Hospital","Northcoast Behavioral Healthcare Hospital",258,258,0,0.9204
"New York","New York City","Psychiatric Hospital","Kirby Forensic Psychiatric Center",218,218,0,0.92
"New York","Richmond","Short Term Acute Care Hospital","Staten Island University Hospital - North Campus",472,543,54,0.9198
"Massachusetts","Hampden","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Western Massachusetts (FKA Healthsouth Rehabilitation Hospital of Western Massachusetts)",53,53,0,0.9195
"Massachusetts","Barnstable","Psychiatric Hospital","Cape Cod and Islands Community Mental Health Center (AKA Pocasset Mental Health Center)",16,16,0,0.9189
"Florida","Leon","Short Term Acute Care Hospital","Tallahassee Memorial HealthCare",772,386,30,0.9188
"Louisiana","St. James","Psychiatric Hospital","Beacon Behavioral Hospital - Lutcher",19,19,0,0.9169
"New Jersey","Atlantic","Long Term Acute Care Hospital","Acuity Specialty Hospital of New Jersey",30,30,11,0.9165
"New Jersey","Union","Psychiatric Hospital","Runnells Hospital",44,44,0,0.9164
"Iowa","Bucha","Psychiatric Hospital","Independence Mental Health Institute",95,56,0,0.9162
"Pennsylvania","Montgomery","Psychiatric Hospital","Brooke Glen Behavioral Hospital",146,146,2,0.916
"Florida","Pasco","Long Term Acute Care Hospital","AdventHealth Connerton (FKA Florida Hospital at Connerton - Long Term Acute Care)",77,77,4,0.9156
"Indiana","Marshall","Psychiatric Hospital","Doctors NeuroPsychiatric Hospital",37,37,0,0.9154
"Texas","Webb","Rehabilitation Hospital","Laredo Rehabilitation Hospital",20,20,2,0.9153
"Nevada","Clark","Short Term Acute Care Hospital","Sunrise Hospital & Medical Center",719,604,84,0.9149
"California","San Joaquin","Psychiatric Hospital","St Josephs Behavioral Health Center",35,35,0,0.9145
"Illinois","Cook","Rehabilitation Hospital","Shirley Ryan AbilityLab (FKA the Rehabilitation Institute of Chicago)",242,225,4,0.9144
"Massachusetts","Suffolk","Long Term Acute Care Hospital","Hebrew SeniorLife - Hebrew Rehabilitation Center",675,667,104,0.9144
"Pennsylvania","Philadelphia","Psychiatric Hospital","Belmont Behavioral Hospital",171,171,0,0.9143
"Texas","Dallas","Psychiatric Hospital","Medical City Green Oaks Hospital (FKA Green Oaks Hospital)",124,124,0,0.9142
"Georgia","Gwinnett","Psychiatric Hospital","SummitRidge Hospital",96,96,0,0.9141
"Florida","Volusia","Long Term Acute Care Hospital","Select Specialty Hospital - Daytona Beach",34,34,8,0.9134
"Missouri","Cedar","Psychiatric Hospital","Southwest Missouri Psychiatric Rehabilitation Center",16,16,12,0.9123
"Massachusetts","Middlesex","Psychiatric Hospital","McLean Hospital",324,218,1,0.9122
"Massachusetts","Bristol","Psychiatric Hospital","Southcoast Behavioral Health",142,142,0,0.9119
"West Virginia","Cabell","Psychiatric Hospital","Mildred Mitchell-Bateman Hospital",110,110,0,0.9118
"New York","Monroe","Psychiatric Hospital","Rochester Psychiatric Center",174,174,0,0.9117
"District of Columbia","District of Columbia","Psychiatric Hospital","St Elizabeths Hospital",292,292,0,0.9116
"Maine","Penobscot","Short Term Acute Care Hospital","Northern Light Eastern Maine Medical Center",411,313,44,0.911
"Minnesota","Beltrami","Psychiatric Hospital","Community Behavioral Health Hospital - Bemidji",16,16,0,0.9108
"North Carolina","Wake","Psychiatric Hospital","Holly Hill Hospital",285,285,2,0.9093
"Maryland","Dorchester","Psychiatric Hospital","Eastern Shore Hospital Center",80,84,0,0.9089
"New York","Bronx","Short Term Acute Care Hospital","Montefiore Hospital - Moses Campus",816,1459,86,0.9087
"Vermont","Washington","Psychiatric Hospital","Vermont Psychiatric Care Hospital",8,25,0,0.9076
"Washington","King","Critical Access Hospital","Snoqualmie Valley Hospital",28,25,4,0.9075
"Arkansas","Pulaski","Psychiatric Hospital","Arkansas State Hospital",222,230,0,0.9073
"Texas","El Paso","Short Term Acute Care Hospital","THOP East Campus (FKA Sierra Providence East Medical Center)",182,182,24,0.9069
"Louisiana","Lafayette","Psychiatric Hospital","Vermilion Behavioral Health System",78,78,0,0.9066
"Delaware","New Castle","Long Term Acute Care Hospital","Select Specialty Hospital - Wilmington",35,35,7,0.9063
"Florida","Bay","Short Term Acute Care Hospital","Ascension Sacred Heart Hospital Bay (AKA Bay Medical Sacred Heart)",323,123,57,0.9061
"New York","Westchester","Psychiatric Hospital","Four Winds Westchester",175,175,0,0.9056
"West Virginia","Wood","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Parkersburg (FKA HealthSouth Western Hills Regional Rehabilitation Hospital)",40,40,0,0.9055
"Ohio","Franklin","Psychiatric Hospital","Twin Valley Behavioral Healthcare Hospital",228,228,0,0.9053
"Massachusetts","Suffolk","Short Term Acute Care Hospital","Brigham and Womens Hospital",763,804,50,0.9052
"Florida","Sarasota","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Sarasota (FKA Healthsouth Rehab Hospital of Sarasota)",96,96,4,0.9048
"Massachusetts","Worcester","Short Term Acute Care Hospital","AdCare Hospital of Worcester",114,114,20,0.9048
"New York","Monroe","Short Term Acute Care Hospital","Strong Memorial Hospital",886,761,127,0.9048
"New Hampshire","Rockingham","Short Term Acute Care Hospital","Portsmouth Regional Hospital",220,148,16,0.9047
"North Carolina","Guilford","Long Term Acute Care Hospital","Select Specialty Hospital - Greensboro",30,30,6,0.9036
"California","Santa Clara","Short Term Acute Care Hospital","Stanford Hospital",583,447,59,0.9033
"Virginia","Bristol","Rehabilitation Hospital","The Rehabilitation Hospital of Bristol (FKA the Rehabilitation Hospital of Southwest Virginia)",25,25,0,0.9031
"Michigan","Wayne","Psychiatric Hospital","Walter P Reuther Psychiatric Hospital",180,180,0,0.9029
"Colorado","Larimer","Rehabilitation Hospital","Northern Colorado Rehabilitation Hospital",40,40,9,0.9014
"Indiana","Vanderburgh","Psychiatric Hospital","Evansville State Hospital",168,168,0,0.9011
"California","Santa Clara","Psychiatric Hospital","San Jose Behavioral Health",80,80,0,0.9009
"Pennsylvania","Warren","Psychiatric Hospital","Warren State Hospital",152,152,0,0.9008
"California","Alameda","Short Term Acute Care Hospital","Highland Hospital",169,169,24,0.9006
"New Jersey","Mercer","Psychiatric Hospital","Trenton Psychiatric Hospital",450,450,0,0.9
"Virginia","Staunton","Psychiatric Hospital","Western State Hospital",84,84,0,0.8991
"California","Los Angeles","Long Term Acute Care Hospital","Kindred Hospital South Bay (FKA Vista Hospital of South Bay)",54,54,4,0.8981
"Kentucky","Warren","Rehabilitation Hospital","Southern Kentucky Rehabilitation Hospital",60,60,3,0.8976
"Louisiana","Caddo","Long Term Acute Care Hospital","PAM Specialty Hospital of Shreveport South (FKA LifeCare Hospitals of Shreveport - Pierremont Campus)",64,30,9,0.8964
"Indiana","Johnson","Psychiatric Hospital","Valle Vista Health System",68,68,0,0.8961
"California","Orange","Psychiatric Hospital","Newport Bay Hospital",36,36,0,0.896
"Massachusetts","Norfolk","Psychiatric Hospital","Human Resource Institute (AKA HRI Hospital)",66,66,0,0.8959
"California","San Diego","Psychiatric Hospital","Alvarado Parkway Institute Behavioral Health System - La Mesa",66,66,0,0.8951
"California","San Bernardino","Long Term Acute Care Hospital","Kindred Hospital Rancho (FKA Rancho Specialty Hospital)",55,55,8,0.8946
"Oklahoma","Oklahoma","Rehabilitation Hospital","Mercy Rehabilitation Hospital Oklahoma City",50,50,0,0.8946
"North Carolina","Mecklenburg","Short Term Acute Care Hospital","Novant Health Matthews Medical Center (FKA Presbyterian Hospital Matthews)",157,123,10,0.894
"Georgia","Chatham","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Savannah (FKA Rehabilitation Hospital of Savannah)",50,50,0,0.8932
"Alabama","Etowah","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Gadsden (FKA Healthsouth Gadsden Rehabilitation Hospital)",44,44,0,0.893
"Massachusetts","Suffolk","Short Term Acute Care Hospital","Boston Medical Center",582,399,71,0.893
"North Carolina","Forsyth","Psychiatric Hospital","Old Vineyard Behavioral Health Services",164,164,0,0.8927
"Pennsylvania","Philadelphia","Psychiatric Hospital","Kirkbride Center",25,25,238,0.8924
"Louisiana","Jefferson","Psychiatric Hospital","Perimeter Behavioral Hospital of New Orleans (FKA Lake Pines Hospital)",36,36,0,0.8921
"Louisiana","Jefferson Davis","Psychiatric Hospital","Jennings Senior Care Hospital",16,16,0,0.8916
"Michigan","Wayne","Psychiatric Hospital","The Samaritan Center",55,55,0,0.8913
"Indiana","St. Joseph","Psychiatric Hospital","Medical Behavioral Hospital of Mishawaka",30,30,0,0.8911
"Texas","Harris","Short Term Acute Care Hospital","University of Texas MD Anderson Cancer Center",670,670,56,0.8909
"California","Solano","Psychiatric Hospital","Adventist Health Vallejo",61,61,0,0.8907
"Pennsylvania","Philadelphia","Psychiatric Hospital","Haven Behavioral Hospital of Philadelphia",67,36,0,0.8907
"New Jersey","Union","Psychiatric Hospital","Summit Oaks Hospital",126,122,1,0.8905
"Texas","Gregg","Psychiatric Hospital","Oceans Behavioral Hospital Longview (FKA Audubon Behavioral Healthcare Longview)",24,24,0,0.8903
"New York","Queens","Psychiatric Hospital","Creedmoor Psychiatric Center",349,349,0,0.89
"New York","Erie","Short Term Acute Care Hospital","Roswell Park Comprehensive Cancer Center (FKA Roswell Park Cancer Institute)",133,133,16,0.8899
"Ohio","Butler","Psychiatric Hospital","Beckett Springs",96,96,0,0.8893
"Pennsylvania","Centre","Psychiatric Hospital","The Meadows Psychiatric Center",119,111,0,0.8878
"New Mexico","Bernalillo","Psychiatric Hospital","Central Desert Behavioral Health Center",26,26,0,0.8874
"Pennsylvania","Franklin","Psychiatric Hospital","Roxbury Treatment Center (FKA Roxbury Psychiatric Hospital)",112,112,60,0.8869
"New York","Queens","Short Term Acute Care Hospital","NewYork-Presbyterian Queens",535,476,29,0.8867
"Kansas","Hodgeman","Critical Access Hospital","Hodgeman County Health Center",50,25,4,0.8865
"Ohio","Cuyahoga","Psychiatric Hospital","Highland Springs",72,72,0,0.8865
"Florida","Miami-Dade","Long Term Acute Care Hospital","Select Specialty Hospital - Miami",47,47,18,0.8863
"Mississippi","Lee","Psychiatric Hospital","North Mississippi State Hospital",50,50,0,0.8863
"Kansas","Mitchell","Critical Access Hospital","Mitchell County Hospital Health Systems",25,17,4,0.8859
"Pennsylvania","Allegheny","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Sewickley (FKA HealthSouth Rehabilitation Hospital of Sewickley)",44,55,0,0.8857
"California","Alameda","Short Term Acute Care Hospital","Eden Medical Center",130,126,24,0.8856
"Montana","Teton","Critical Access Hospital","Benefis Teton Medical Center",25,25,4,0.885
"New York","Nassau","Short Term Acute Care Hospital","NYU Langone Hospital - Long Island (FKA NYU Winthrop Hospital)",591,511,29,0.8846
"California","Riverside","Short Term Acute Care Hospital","Loma Linda University Medical Center Murrieta",111,111,12,0.8842
"Maryland","Baltimore","Psychiatric Hospital","Sheppard Pratt - Towson Campus (AKA Sheppard & Enoch Pratt Hospital)",322,258,0,0.8841
